utterance_id,token_index,error_type,source_word,source_word_length,destination_word,destination_word_length
n000016-fn000030-170.9921-173.0927,1,insertion,<ins>,<ins>,hebt,4
n000016-fn000030-170.9921-173.0927,2,substitution,betaal,6,beter,5
n000016-fn000030-173.5004-176.1597,2,substitution,vraag,5,vraagt,6
n000016-fn000030-176.6150-179.0895,0,substitution,spullen,7,spelen,6
n000016-fn000030-176.6150-179.0895,2,substitution,zoals,5,souls,5
n000016-fn000030-179.5283-182.2083,1,substitution,een,3,in,2
n000016-fn000030-179.5283-182.2083,3,substitution,speler,6,spelen,6
n000016-fn000030-185.3743-188.2303,0,deletion,pos,3,<del>,<del>
n000016-fn000030-185.3743-188.2303,2,deletion,kun,3,<del>,<del>
n000016-fn000030-185.3743-188.2303,3,substitution,je,2,postgunner,10
n000016-fn000030-188.6173-190.7386,0,insertion,<ins>,<ins>,we,2
n000016-fn000030-188.6173-190.7386,1,substitution,versturen,9,sturen,6
n000016-fn000030-190.7386-194.0395,0,substitution,brie,4,bril,4
n000016-fn000030-190.7386-194.0395,1,substitution,ven,3,fijn,4
n000016-fn000030-194.9320-197.9224,1,deletion,je,2,<del>,<del>
n000016-fn000030-194.9320-197.9224,2,substitution,één,3,jou,3
n000016-fn000030-194.9320-197.9224,3,substitution,brief,5,inbrei,6
n000016-fn000030-194.9320-197.9224,5,substitution,'s,2,s,1
n000016-fn000030-197.9224-199.6843,3,deletion,doet,4,<del>,<del>
n000016-fn000030-20.8202-23.1898,0,substitution,wilt,4,wil,3
n000016-fn000030-20.8202-23.1898,2,substitution,naar,4,nou,3
n000016-fn000030-201.8263-204.6967,1,substitution,vo,2,voor,4
n000016-fn000030-207.3115-210.6020,0,deletion,in,2,<del>,<del>
n000016-fn000030-207.3115-210.6020,1,deletion,de,2,<del>,<del>
n000016-fn000030-207.3115-210.6020,2,substitution,bre,3,een,3
n000016-fn000030-207.3115-210.6020,3,substitution,brievenbus,10,bruiloftbuss,12
n000016-fn000030-210.6020-213.3750,2,deletion,je,2,<del>,<del>
n000016-fn000030-213.3750-215.0245,1,substitution,een,3,in,2
n000016-fn000030-213.3750-215.0245,2,substitution,pakket,6,pakit,5
n000016-fn000030-215.6495-218.3295,0,insertion,<ins>,<ins>,pak,3
n000016-fn000030-215.6495-218.3295,1,substitution,pakketten,9,eten,4
n000016-fn000030-218.3295-221.7856,1,deletion,vers,4,<del>,<del>
n000016-fn000030-218.3295-221.7856,2,substitution,verschillende,13,wisselende,10
n000016-fn000030-222.2628-223.9702,1,substitution,en,2,in,2
n000016-fn000030-224.3825-225.5621,2,substitution,ze,2,zo,2
n000016-fn000030-225.5621-228.5836,0,substitution,albe,4,allebei,7
n000016-fn000030-225.5621-228.5836,1,substitution,aller,5,alle,4
n000016-fn000030-225.5621-228.5836,2,substitution,allerlei,8,alle,4
n000016-fn000030-229.0046-231.9922,0,deletion,ding,4,<del>,<del>
n000016-fn000030-235.2941-237.4774,0,substitution,een,3,in,2
n000016-fn000030-235.2941-237.4774,1,substitution,een,3,in,2
n000016-fn000030-235.2941-237.4774,2,substitution,gemeenten,9,gemünd,6
n000016-fn000030-237.4774-239.2469,0,deletion,een,3,<del>,<del>
n000016-fn000030-237.4774-239.2469,1,substitution,stad,4,instead,7
n000016-fn000030-237.4774-239.2469,3,substitution,een,3,in,2
n000016-fn000030-241.8290-243.2673,0,deletion,klein,5,<del>,<del>
n000016-fn000030-241.8290-243.2673,1,substitution,dorpen,6,kleindorpen,11
n000016-fn000030-244.0816-248.2621,0,deletion,am,2,<del>,<del>
n000016-fn000030-244.0816-248.2621,1,substitution,ambe,4,aan,3
n000016-fn000030-244.0816-248.2621,2,substitution,te,2,aan,3
n000016-fn000030-244.0816-248.2621,3,substitution,na,2,het,3
n000016-fn000030-244.0816-248.2621,4,substitution,ren,3,inhuren,7
n000016-fn000030-248.8354-250.3979,2,substitution,gemeenten,9,gemeente,8
n000016-fn000030-250.3979-252.7261,0,deletion,con,3,<del>,<del>
n000016-fn000030-250.3979-252.7261,1,substitution,troleren,8,controleren,11
n000016-fn000030-250.3979-252.7261,2,substitution,of,2,op,2
n000016-fn000030-257.8963-260.5453,0,substitution,en,2,in,2
n000016-fn000030-257.8963-260.5453,2,substitution,zorgt,5,zorg,4
n000016-fn000030-260.5453-263.1529,1,deletion,goede,5,<del>,<del>
n000016-fn000030-263.1529-266.3529,1,deletion,sta,3,<del>,<del>
n000016-fn000030-263.1529-266.3529,2,substitution,straten,7,starten,7
n000016-fn000030-266.9531-268.9191,0,insertion,<ins>,<ins>,in,2
n000016-fn000030-266.9531-268.9191,1,substitution,en,2,veertien,8
n000016-fn000030-266.9531-268.9191,2,substitution,fietsenpaden,12,paden,5
n000016-fn000030-269.3952-271.7751,1,substitution,zorgt,5,zorgde,6
n000016-fn000030-269.3952-271.7751,3,insertion,<ins>,<ins>,chemie,6
n000016-fn000030-269.3952-271.7751,4,substitution,gemeente,8,niet,4
n000016-fn000030-272.1269-273.4086,0,substitution,bomen,5,boomen,6
n000016-fn000030-273.9344-276.0708,1,substitution,parken,6,parking,7
n000016-fn000030-276.0708-277.7090,0,insertion,<ins>,<ins>,hoe,3
n000016-fn000030-277.7090-279.7732,0,deletion,be,2,<del>,<del>
n000016-fn000030-280.1038-282.4498,2,insertion,<ins>,<ins>,een,3
n000016-fn000030-280.1038-282.4498,3,substitution,voldoe,6,folder,6
n000016-fn000030-282.4498-283.5723,0,substitution,voldenende,10,volgende,8
n000016-fn000030-291.2540-293.6389,3,substitution,één,3,in,2
n000016-fn000030-291.2540-293.6389,4,substitution,balie,5,bali,4
n000016-fn000030-294.2425-297.1512,1,substitution,voorbleid,9,voorbeeldden,12
n000016-fn000030-297.1512-299.5974,0,substitution,gemeentehuis,12,gemeenthuis,11
n000016-fn000030-299.5974-301.6284,0,deletion,of,2,<del>,<del>
n000016-fn000030-299.5974-301.6284,1,substitution,naar,4,openen,6
n000016-fn000030-299.5974-301.6284,2,substitution,'t,2,buitenpost,10
n000016-fn000030-299.5974-301.6284,3,substitution,postkantoor,11,kantoor,7
n000016-fn000030-30.4607-33.3166,0,deletion,veel,4,<del>,<del>
n000016-fn000030-30.4607-33.3166,1,deletion,neder,5,<del>,<del>
n000016-fn000030-30.4607-33.3166,2,substitution,veel,4,film,4
n000016-fn000030-30.4607-33.3166,3,substitution,nederl,6,film,4
n000016-fn000030-306.7765-309.2337,0,substitution,tot,3,toet,4
n000016-fn000030-306.7765-309.2337,1,substitution,je,2,u,1
n000016-fn000030-309.6726-312.5849,5,substitution,ander,5,anders,6
n000016-fn000030-313.0975-315.2008,0,insertion,<ins>,<ins>,nee,3
n000016-fn000030-315.6660-318.4005,1,substitution,kwij,4,kwijt,5
n000016-fn000030-321.2069-323.2900,0,deletion,soms,4,<del>,<del>
n000016-fn000030-321.2069-323.2900,1,substitution,kun,3,sommige,7
n000016-fn000030-321.2069-323.2900,2,substitution,je,2,konijnen,8
n000016-fn000030-323.6843-325.9703,0,insertion,<ins>,<ins>,nummer,6
n000016-fn000030-323.6843-325.9703,2,substitution,nummertje,9,twee,4
n000016-fn000030-325.9703-328.9104,0,substitution,trekken,7,drinken,7
n000016-fn000030-325.9703-328.9104,2,substitution,een,3,in,2
n000016-fn000030-325.9703-328.9104,3,substitution,paraat,6,apparaat,8
n000016-fn000030-328.9104-330.5861,0,substitution,en,2,in,2
n000016-fn000030-328.9104-330.5861,3,insertion,<ins>,<ins>,ook,3
n000016-fn000030-328.9104-330.5861,5,substitution,de,2,doen,4
n000016-fn000030-33.7098-35.9949,0,insertion,<ins>,<ins>,wij,3
n000016-fn000030-33.7098-35.9949,1,substitution,vieren,6,zijn,4
n000016-fn000030-33.7098-35.9949,4,deletion,hun,3,<del>,<del>
n000016-fn000030-331.0512-333.8826,0,substitution,balie,5,bellen,6
n000016-fn000030-334.3330-337.2655,4,deletion,uru,3,<del>,<del>
n000016-fn000030-334.3330-337.2655,5,deletion,urg,3,<del>,<del>
n000016-fn000030-334.3330-337.2655,6,substitution,lang,4,erger,5
n000016-fn000030-337.2655-339.6520,0,substitution,duurt,5,durd,4
n000016-fn000030-337.2655-339.6520,2,substitution,jouw,4,jou,3
n000016-fn000030-337.2655-339.6520,4,deletion,aan,3,<del>,<del>
n000016-fn000030-337.2655-339.6520,5,substitution,de,2,één,3
n000016-fn000030-340.1747-342.8847,0,substitution,beurt,5,dit,3
n000016-fn000030-340.1747-342.8847,4,substitution,wel,3,veel,4
n000016-fn000030-340.1747-342.8847,6,substitution,één,3,in,2
n000016-fn000030-343.4032-345.1728,0,substitution,boodschap,9,boodschappen,12
n000016-fn000030-347.2862-349.6031,0,deletion,te,2,<del>,<del>
n000016-fn000030-347.2862-349.6031,1,substitution,lang,4,toelang,7
n000016-fn000030-347.2862-349.6031,2,substitution,want,4,van,3
n000016-fn000030-35.9949-38.1885,0,insertion,<ins>,<ins>,vierde,6
n000016-fn000030-35.9949-38.1885,1,substitution,ver,3,jaar,4
n000016-fn000030-35.9949-38.1885,2,substitution,jaardag,7,dag,3
n000016-fn000030-350.0507-352.2657,0,substitution,geweest,7,gewoonst,8
n000016-fn000030-350.0507-352.2657,2,deletion,moet,4,<del>,<del>
n000016-fn000030-352.2657-354.5374,2,substitution,een,3,in,2
n000016-fn000030-358.3263-360.2440,0,substitution,het,3,u,1
n000016-fn000030-358.3263-360.2440,1,substitution,nederlan,8,kunt,4
n000016-fn000030-360.6537-362.9332,0,insertion,<ins>,<ins>,het,3
n000016-fn000030-360.6537-362.9332,2,deletion,heeft,5,<del>,<del>
n000016-fn000030-360.6537-362.9332,3,substitution,één,3,in,2
n000016-fn000030-362.9332-365.3282,0,substitution,apart,5,apparaat,8
n000016-fn000030-362.9332-365.3282,3,substitution,gezin,5,gissen,6
n000016-fn000030-365.9686-368.1128,0,insertion,<ins>,<ins>,en,2
n000016-fn000030-365.9686-368.1128,1,insertion,<ins>,<ins>,hij,3
n000016-fn000030-365.9686-368.1128,2,substitution,één,3,is,2
n000016-fn000030-365.9686-368.1128,3,substitution,gezin,5,een,3
n000016-fn000030-365.9686-368.1128,4,substitution,bestaat,7,besteld,7
n000016-fn000030-368.1128-370.5074,0,substitution,uit,3,out,3
n000016-fn000030-368.1128-370.5074,1,substitution,ouders,6,orders,6
n000016-fn000030-368.1128-370.5074,2,substitution,en,2,in,2
n000016-fn000030-373.7521-376.1809,0,substitution,apart,5,apparaat,8
n000016-fn000030-376.1809-376.8825,0,substitution,familie,7,family,6
n000016-fn000030-379.6974-382.0714,0,substitution,opa's,5,oppas,5
n000016-fn000030-379.6974-382.0714,1,substitution,en,2,in,2
n000016-fn000030-38.1885-41.0755,0,substitution,en,2,een,3
n000016-fn000030-38.1885-41.0755,1,substitution,hun,3,koninklijke,11
n000016-fn000030-382.0714-384.0988,1,substitution,en,2,in,2
n000016-fn000030-382.0714-384.0988,2,substitution,ooms,4,oms,3
n000016-fn000030-384.5473-387.0579,0,insertion,<ins>,<ins>,eh,2
n000016-fn000030-384.5473-387.0579,1,substitution,neven,5,negen,5
n000016-fn000030-384.5473-387.0579,2,substitution,en,2,in,2
n000016-fn000030-384.5473-387.0579,3,substitution,nichten,7,negentien,9
n000016-fn000030-387.5393-389.9238,3,deletion,en,2,<del>,<del>
n000016-fn000030-387.5393-389.9238,4,substitution,voora,5,er,2
n000016-fn000030-389.9238-391.0829,1,deletion,re,2,<del>,<del>
n000016-fn000030-391.0829-393.0542,1,substitution,relaties,8,relatiel,8
n000016-fn000030-393.5550-395.7400,2,insertion,<ins>,<ins>,huis,4
n000016-fn000030-393.5550-395.7400,3,substitution,gezin,5,zijn,4
n000016-fn000030-400.2101-402.9518,0,substitution,nederlands,10,nederlandse,11
n000016-fn000030-403.2698-405.9713,1,deletion,he,2,<del>,<del>
n000016-fn000030-406.3402-407.7026,0,insertion,<ins>,<ins>,fuck,4
n000016-fn000030-406.3402-407.7026,1,substitution,vaak,4,eh,2
n000016-fn000030-407.7026-410.2384,0,insertion,<ins>,<ins>,ver,3
n000016-fn000030-407.7026-410.2384,1,insertion,<ins>,<ins>,naar,4
n000016-fn000030-407.7026-410.2384,2,insertion,<ins>,<ins>,ver,3
n000016-fn000030-407.7026-410.2384,3,substitution,vernar,6,naar,4
n000016-fn000030-407.7026-410.2384,4,substitution,vernandert,10,deurt,5
n000016-fn000030-41.3382-44.2873,0,insertion,<ins>,<ins>,een,3
n000016-fn000030-41.3382-44.2873,1,substitution,één,3,vierde,6
n000016-fn000030-41.3382-44.2873,2,substitution,ver,3,vierde,6
n000016-fn000030-41.3382-44.2873,3,substitution,ver,3,jaar,4
n000016-fn000030-41.3382-44.2873,4,substitution,jaardag,7,dag,3
n000016-fn000030-410.2384-411.4465,0,substitution,en,2,in,2
n000016-fn000030-413.5787-415.6691,1,deletion,waar,4,<del>,<del>
n000016-fn000030-413.5787-415.6691,2,substitution,het,3,wat,3
n000016-fn000030-423.6789-425.6642,2,substitution,de,2,the,3
n000016-fn000030-427.4849-429.1728,0,substitution,drinkingen,10,drinken,7
n000016-fn000030-429.6633-432.1273,2,substitution,het,3,hoodie,6
n000016-fn000030-429.6633-432.1273,3,substitution,vaak,4,fuck,4
n000016-fn000030-432.8055-435.0686,0,insertion,<ins>,<ins>,onsen,5
n000016-fn000030-432.8055-435.0686,1,substitution,onzenkeer,9,keer,4
n000016-fn000030-432.8055-435.0686,2,substitution,weer,4,voor,4
n000016-fn000030-435.0686-436.4342,0,deletion,te,2,<del>,<del>
n000016-fn000030-435.0686-436.4342,1,substitution,maken,5,tomaatje,8
n000016-fn000030-435.0686-436.4342,2,substitution,hebben,6,heben,5
n000016-fn000030-437.1812-438.5993,0,insertion,<ins>,<ins>,bij,3
n000016-fn000030-437.1812-438.5993,1,substitution,bijvoorbleid,12,voorblad,8
n000016-fn000030-438.9985-441.2780,2,insertion,<ins>,<ins>,weer,4
n000016-fn000030-438.9985-441.2780,3,substitution,vierzen,7,zijn,4
n000016-fn000030-44.7115-47.8333,1,substitution,ze,2,zo,2
n000016-fn000030-44.7115-47.8333,2,substitution,meestal,7,misdaad,7
n000016-fn000030-44.7115-47.8333,3,substitution,thuis,5,uit,3
n000016-fn000030-441.5839-443.4117,0,deletion,en,2,<del>,<del>
n000016-fn000030-441.5839-443.4117,1,substitution,het,3,in,2
n000016-fn000030-443.4117-445.9490,1,substitution,doowen,6,dan,3
n000016-fn000030-443.4117-445.9490,3,substitution,betekent,8,beteken,7
n000016-fn000030-449.1673-451.4913,0,deletion,hoe,3,<del>,<del>
n000016-fn000030-449.1673-451.4913,1,deletion,iets,4,<del>,<del>
n000016-fn000030-449.1673-451.4913,2,deletion,zal,3,<del>,<del>
n000016-fn000030-449.1673-451.4913,3,substitution,gaan,4,it's,4
n000016-fn000030-455.3029-458.2235,0,insertion,<ins>,<ins>,gediegen,8
n000016-fn000030-455.3029-458.2235,1,substitution,gedichend,9,te,2
n000016-fn000030-455.3029-458.2235,3,substitution,vaak,4,wakker,6
n000016-fn000030-458.2235-461.3305,0,substitution,de,2,door,4
n000016-fn000030-458.2235-461.3305,1,substitution,liefde,6,liften,6
n000016-fn000030-458.2235-461.3305,3,substitution,dichtert,8,dichter,7
n000016-fn000030-461.6675-464.3768,0,insertion,<ins>,<ins>,we,2
n000016-fn000030-464.7372-466.2037,0,deletion,ge,2,<del>,<del>
n000016-fn000030-464.7372-466.2037,1,deletion,lief,4,<del>,<del>
n000016-fn000030-464.7372-466.2037,2,substitution,de,2,geliefde,8
n000016-fn000030-468.8114-470.7875,2,substitution,weinig,6,wenen,5
n000016-fn000030-47.8333-50.1954,0,insertion,<ins>,<ins>,de,2
n000016-fn000030-47.8333-50.1954,1,substitution,het,3,hutten,6
n000016-fn000030-47.8333-50.1954,2,substitution,gezin,5,glijden,7
n000016-fn000030-47.8333-50.1954,4,substitution,één,3,in,2
n000016-fn000030-470.7875-472.3161,0,substitution,woorden,7,worden,6
n000016-fn000030-475.4901-477.5158,1,insertion,<ins>,<ins>,in,2
n000016-fn000030-475.4901-477.5158,2,substitution,een,3,e,1
n000016-fn000030-475.4901-477.5158,3,substitution,idee,4,d,1
n000016-fn000030-477.5158-480.3029,0,insertion,<ins>,<ins>,it's,4
n000016-fn000030-477.5158-480.3029,1,substitution,iets,4,a,1
n000016-fn000030-477.5158-480.3029,2,substitution,grappis,7,grappys,7
n000016-fn000030-477.5158-480.3029,3,substitution,grappigs,8,grappiest,9
n000016-fn000030-480.7983-483.0104,0,substitution,lei,3,lady,4
n000016-fn000030-480.7983-483.0104,1,substitution,leidigse,8,ladies,6
n000016-fn000030-483.3831-484.7501,0,insertion,<ins>,<ins>,eh,2
n000016-fn000030-483.3831-484.7501,1,insertion,<ins>,<ins>,leuk,4
n000016-fn000030-483.3831-484.7501,2,substitution,lijken,6,en,2
n000016-fn000030-488.3564-490.4421,1,substitution,en,2,in,2
n000016-fn000030-488.3564-490.4421,2,substitution,ze,2,zo,2
n000016-fn000030-490.4421-493.3589,4,substitution,liefde,6,leeftijd,8
n000016-fn000030-493.9409-496.4513,0,deletion,in,2,<del>,<del>
n000016-fn000030-493.9409-496.4513,1,deletion,liefje,6,<del>,<del>
n000016-fn000030-493.9409-496.4513,2,substitution,leidies,7,ladies,6
n000016-fn000030-499.9541-501.9550,1,insertion,<ins>,<ins>,tien,4
n000016-fn000030-499.9541-501.9550,2,substitution,meer,4,dertig,6
n000016-fn000030-499.9541-501.9550,3,substitution,dan,3,al,2
n000016-fn000030-499.9541-501.9550,4,substitution,alleen,6,in,2
n000016-fn000030-50.1954-53.0720,1,substitution,vrienden,8,vriendin,8
n000016-fn000030-502.2583-504.4332,0,substitution,woorden,7,worden,6
n000016-fn000030-504.4332-506.5584,0,substitution,en,2,in,2
n000016-fn000030-507.0555-508.1492,0,insertion,<ins>,<ins>,zijn,4
n000016-fn000030-507.0555-508.1492,1,substitution,zanger,6,hier,4
n000016-fn000030-511.3215-513.6704,1,substitution,belangrijk,10,blank,5
n000016-fn000030-518.2006-521.4443,0,insertion,<ins>,<ins>,on,2
n000016-fn000030-518.2006-521.4443,2,substitution,ongijpe,7,gepe,4
n000016-fn000030-521.4443-524.1909,0,substitution,pruimen,7,promen,6
n000016-fn000030-524.1909-525.0328,0,substitution,en,2,een,3
n000016-fn000030-525.0328-527.5041,0,substitution,de,2,du,2
n000016-fn000030-525.0328-527.5041,1,substitution,bus,3,bist,4
n000016-fn000030-525.0328-527.5041,6,deletion,moet,4,<del>,<del>
n000016-fn000030-527.5041-529.0677,0,insertion,<ins>,<ins>,te,2
n000016-fn000030-527.5041-529.0677,1,substitution,je,2,jou,3
n000016-fn000030-529.4528-531.3294,0,deletion,slnij,5,<del>,<del>
n000016-fn000030-529.4528-531.3294,1,substitution,slijner,7,sneuzelen,9
n000016-fn000030-53.6778-55.7783,1,insertion,<ins>,<ins>,eh,2
n000016-fn000030-53.6778-55.7783,2,insertion,<ins>,<ins>,film,4
n000016-fn000030-53.6778-55.7783,3,substitution,viel,4,eh,2
n000016-fn000030-53.6778-55.7783,5,insertion,<ins>,<ins>,eh,2
n000016-fn000030-531.6525-534.2624,0,insertion,<ins>,<ins>,op,2
n000016-fn000030-531.6525-534.2624,1,insertion,<ins>,<ins>,een,3
n000016-fn000030-531.6525-534.2624,2,substitution,ophangi,7,op,2
n000016-fn000030-531.6525-534.2624,3,substitution,ophangen,8,een,3
n000016-fn000030-537.4631-539.6504,2,substitution,een,3,in,2
n000016-fn000030-539.6504-542.0151,0,substitution,flinke,6,filmpje,7
n000016-fn000030-542.0151-544.8343,0,deletion,de,2,<del>,<del>
n000016-fn000030-542.0151-544.8343,1,substitution,deuk,4,doek,4
n000016-fn000030-542.0151-544.8343,3,substitution,je,2,uw,2
n000016-fn000030-548.0917-549.5613,1,substitution,een,3,in,2
n000016-fn000030-55.7783-58.2928,0,deletion,de,2,<del>,<del>
n000016-fn000030-55.7783-58.2928,1,substitution,jaar,4,doe,3
n000016-fn000030-55.7783-58.2928,2,substitution,li,2,jij,3
n000016-fn000030-55.7783-58.2928,3,substitution,lijkse,6,lesje,5
n000016-fn000030-554.4513-556.3224,0,deletion,ba,2,<del>,<del>
n000016-fn000030-554.4513-556.3224,1,substitution,barage,6,barrage,7
n000016-fn000030-554.4513-556.3224,2,substitution,letten,6,leidend,7
n000016-fn000030-556.7997-558.5644,2,substitution,één,3,in,2
n000016-fn000030-560.7642-562.5538,1,substitution,trui,4,trouw,5
n000016-fn000030-560.7642-562.5538,3,substitution,lange,5,loni,4
n000016-fn000030-562.5538-563.8781,0,substitution,mouwen,6,maune,5
n000016-fn000030-564.5206-566.6136,2,insertion,<ins>,<ins>,voor,4
n000016-fn000030-564.5206-566.6136,3,substitution,wordt,5,de,2
n000016-fn000030-566.6136-568.3111,1,substitution,duurder,7,dirty,5
n000016-fn000030-568.7709-571.5634,5,insertion,<ins>,<ins>,is,2
n000016-fn000030-568.7709-571.5634,6,substitution,fiets,5,fit,3
n000016-fn000030-571.9736-573.5052,0,substitution,fiets,5,fit,3
n000016-fn000030-571.9736-573.5052,1,substitution,fietst,6,fit,3
n000016-fn000030-573.5052-575.1726,0,insertion,<ins>,<ins>,steek,5
n000016-fn000030-573.5052-575.1726,1,substitution,elke,4,ik,2
n000016-fn000030-573.5052-575.1726,2,substitution,dag,3,daar,4
n000016-fn000030-575.1726-576.2523,1,substitution,lieve,5,leven,5
n000016-fn000030-581.2252-583.0272,1,substitution,dank,4,denk,4
n000016-fn000030-581.2252-583.0272,2,substitution,je,2,ik,2
n000016-fn000030-63.2903-65.5857,0,substitution,één,3,een,3
n000016-fn000030-75.1109-78.1014,3,substitution,één,3,een,3
n000016-fn000030-78.1014-80.0674,0,insertion,<ins>,<ins>,heel,4
n000016-fn000030-78.1014-80.0674,1,substitution,hele,4,heel,4
n000016-fn000030-78.1014-80.0674,2,substitution,heleboel,8,populair,8
n000016-fn000030-80.6495-83.3812,0,substitution,dingen,6,dinchen,7
n000016-fn000030-84.1319-86.7808,1,substitution,betekent,8,beteken,7
n000016-fn000030-84.1319-86.7808,3,substitution,je,2,u,1
n000016-fn000030-89.5644-91.8201,0,substitution,verkoper,8,weerkoper,9
n000016-fn000030-89.5644-91.8201,2,substitution,een,3,in,2
n000016-fn000030-92.1672-93.7918,0,substitution,lagere,6,lager,5
n000016-fn000030-94.2678-96.7615,2,substitution,sommijge,8,sommige,7
n000016-fn000030-97.3229-99.5373,0,insertion,<ins>,<ins>,die,3
n000016-fn000030-97.3229-99.5373,1,substitution,dingen,6,niet,4
n000016-fn000030-97.3229-99.5373,2,substitution,di,2,die,3
n000016-fn000030-97.3229-99.5373,3,substitution,dingen,6,niet,4
n000016-fn000030-99.5373-101.0584,2,insertion,<ins>,<ins>,de,2
n000016-fn000030-99.5373-101.0584,3,substitution,heel,4,hele,4
n000019-fn000037-10.6794-12.4546,0,insertion,<ins>,<ins>,welkom,6
n000019-fn000037-10.6794-12.4546,1,insertion,<ins>,<ins>,in,2
n000019-fn000037-10.6794-12.4546,2,substitution,balkenende,10,nederland,9
n000019-fn000037-102.6328-104.3571,0,substitution,betalen,7,betaal,6
n000019-fn000037-104.3571-105.4738,0,substitution,gewoon,6,hoeven,6
n000019-fn000037-107.1784-109.0223,0,substitution,erop,4,waarop,6
n000019-fn000037-111.1385-112.7292,0,deletion,ervoor,6,<del>,<del>
n000019-fn000037-111.1385-112.7292,1,substitution,vraagt,6,oorlogsvracht,13
n000019-fn000037-116.4948-117.6738,0,substitution,spillen,7,spellen,7
n000019-fn000037-121.0441-122.0301,0,substitution,spillen,7,spellen,7
n000019-fn000037-122.5616-124.6631,2,substitution,'t,2,het,3
n000019-fn000037-124.6631-126.7574,0,insertion,<ins>,<ins>,hij,3
n000019-fn000037-124.6631-126.7574,1,substitution,eist,4,is,2
n000019-fn000037-126.7574-127.9489,1,substitution,je,2,ja,2
n000019-fn000037-13.7982-15.1741,0,deletion,huh,3,<del>,<del>
n000019-fn000037-13.7982-15.1741,1,deletion,wilt,4,<del>,<del>
n000019-fn000037-13.7982-15.1741,2,substitution,u,1,welterusten,11
n000019-fn000037-130.8987-132.2258,0,substitution,betalen,7,pitallen,8
n000019-fn000037-133.8144-135.3019,3,substitution,hands,5,hand,4
n000019-fn000037-135.3019-137.0884,0,substitution,auto's,6,autos,5
n000019-fn000037-139.9856-142.2166,0,insertion,<ins>,<ins>,nu,2
n000019-fn000037-139.9856-142.2166,1,substitution,niet,4,is,2
n000019-fn000037-139.9856-142.2166,4,deletion,die,3,<del>,<del>
